Names	total	elements
		"MYO1F"
		"GATA5"
		"CTNNA2"
		"INHBB"
		"KATNAL1"
		"TNFRSF6B"
		"NTSR1"
		"MFAP3"
		"RBM27"
		"NARG2"
		"MOS"
		"GLIS2"
		"TIMD4"
		"KNDC1"
		"KLHL5"
		"GIMAP2"
		"FAF2"
		"LOC729621"
		"MOSPD1"
		"C15orf51"
		"KCNC3"
		"IGF2R"
		"ADORA3"
		"SRP14P1"
		"CSGLCA-T"
		"RC3H2"
		"TRDMT1"
		"LOC152663"
		"C7orf27"
		"CPN2"
		"MTHFD1L"
		"ADAMTS13"
		"FUT9"
		"C10orf63"
		"RPS28"
		"TAT"
		"LOC730092"
		"DDX49"
		"MCCD1"
		"BCS1L"
		"JMJD2C"
		"C12orf32"
		"RIOK2"
		"IL18"
		"DAZ2"
		"VPS36"
		"NPAL2"
		"LOC389842"
		"EXOSC6"
		"SORT1"
		"USP33"
		"PHC2"
		"FAT2"
		"C21orf66"
		"ARL5A"
		"DTWD2"
		"LOC440934"
		"SIX5"
		"GPHN"
		"MGA"
		"RHEB"
		"PLCD4"
		"KIAA0513"
		"NKX2-5"
		"LRRC31"
		"PAF1"
		"IGFBP5"
		"GPATCH3"
		"LARP6"
		"SIRT3"
		"ZNF177"
		"NXPH4"
		"RPL24"
		"CCDC142"
		"STAC3"
		"DHX38"
		"HIST1H2BN"
		"NCAPH2"
		"LOC730091"
		"AGPAT6"
		"ZNF446"
		"ZRANB1"
		"KCNA1"
		"LY6G6E"
		"C7orf62"
		"TMEM53"
		"LOX"
		"UBA52"
		"ROD1"
		"PIAS3"
		"KRTAP13-3"
		"LOC729742"
		"MCF2"
		"MCAT"
		"ANKHD1"
		"SEPT9"
		"LRP1"
		"CNN3"
		"BOLA3"
		"PRKRIR"
		"THBS1"
		"SLC4A7"
		"CCNF"
		"FLJ32575"
		"TMEM99"
		"LRCH3"
		"TUBB2A"
		"ADCY10"
		"TMLHE"
		"ZFYVE16"
		"EVI2A"
		"GPR137C"
		"KCNC2"
		"NSFL1C"
		"IL34"
		"NHP2"
		"SNX31"
		"BMP8B"
		"NPY1R"
		"C9orf84"
		"PAK1IP1"
		"TRIM4"
		"LOC147080"
		"PCF11"
		"PAFAH2"
		"FCN1"
		"GFER"
		"UBE2G1"
		"MSL3"
		"SP7"
		"NRN1L"
		"STAP1"
		"ESR2"
		"hCG_2009921"
		"FAM171B"
		"C15orf48"
		"CCDC70"
		"GABBR1"
		"PA2G4"
		"ZNF420"
		"LIMA1"
		"GPR126"
		"SENP5"
		"IRS2"
		"GPRC5D"
		"POMP"
		"HS6ST1"
		"CLEC11A"
		"SH3BP1"
		"VEGFC"
		"TRIM64"
		"FGFBP2"
		"RPS11"
		"COQ9"
		"FAM38A"
		"C15orf2"
		"DOK1"
		"ZNF680"
		"FGFR1"
		"RNASEK"
		"UGT2B10"
		"FAM186B"
		"NAALADL1"
		"FRMD8"
		"LOC391769"
		"PHF14"
		"PNPLA3"
		"NFATC4"
		"LOC286149"
		"MCFD2"
		"C6orf223"
		"MRPL42"
		"NFU1"
		"CA5A"
		"SERINC2"
		"MTR"
		"DBNL"
		"SFTPA1"
		"ASNSD1"
		"GOLT1B"
		"LOC729085"
		"PIN4"
		"TRIM69"
		"GSTM3"
		"PDSS2"
		"CHMP2B"
		"TCP1"
		"GSTM1"
		"C8orf34"
		"DENND1A"
		"SERPINB11"
		"NMT2"
		"CDKN2A"
		"VPS39"
		"POTEE"
		"TANC2"
		"SLC6A3"
		"IL10RA"
		"NIPA1"
		"ECH1"
		"CEBPB"
		"LMO2"
		"FOSB"
		"EIF2B2"
		"CAMK2G"
		"C13orf1"
		"NLRP12"
		"AHCY"
		"MDP-1"
		"PTDSS1"
		"C2orf27"
		"DNAJA2"
		"VDAC2"
		"CAPN11"
		"FAM3A"
		"LOC137107"
		"LOC554201"
		"TCN2"
		"RPS17"
		"FBRS"
		"MAPK14"
		"DNASE1L3"
		"GPRASP1"
		"UBE2B"
		"GMPPB"
		"VAV1"
		"CCDC91"
		"KIF13A"
		"CLIP4"
		"UHRF2"
		"RFC3"
		"STXBP6"
		"MRPL38"
		"NAPRT1"
		"MED4"
		"PTK2"
		"SUPT6H"
		"RNASEH2B"
		"FAM178B"
		"HIST1H3B"
		"CD3D"
		"MYCT1"
		"ABHD2"
		"ASRGL1"
		"HLA-G"
		"TSTA3"
		"MUC2"
		"CDH23"
		"TGFB1"
		"CXCL12"
		"FAM49A"
		"MADCAM1"
		"DKFZp547G183"
		"KRT81"
		"ASAP1"
		"MAPKSP1"
		"DDR1"
		"DR1"
		"SLC10A7"
		"PEX19"
		"C1orf83"
		"FRG1B"
		"C5orf24"
		"FAM148C"
		"KDELR3"
		"SEPT6"
		"ZNF254"
		"UNC5A"
		"NKAP"
		"KIAA1012"
		"EBF3"
		"TXNDC16"
		"TPP2"
		"ZNF776"
		"CD300LF"
		"TNFAIP8L3"
		"PRNP"
		"FLJ25758"
		"SLC7A7"
		"C2orf7"
		"GRB2"
		"SUCLA2"
		"IRF9"
		"MYST2"
		"PARP1"
		"LOC389831"
		"CHST5"
		"EXOSC7"
		"WDFY2"
		"DOM3Z"
		"FOSL2"
		"HHAT"
		"SOCS7"
		"WDR32"
		"RASGEF1C"
		"ANKRD2"
		"UBXN4"
		"BRWD1"
		"TOR1AIP1"
		"FLJ23569"
		"GAGE3"
		"CYP3A5"
		"LOC729595"
		"BCLAF1"
		"SV2A"
		"CTBS"
		"XRN1"
		"KRTAP9-3"
		"C1orf167"
		"PAR5"
		"SDHALP2"
		"RAB24"
		"C12orf39"
		"IFITM5"
		"TMEM55A"
		"LPPR4"
		"ERBB2"
		"FANK1"
		"TMEFF2"
		"SERPINB10"
		"MBD3"
		"NDUFA2"
		"NCAM2"
		"NIPSNAP3B"
		"ARL8A"
		"COX11"
		"FUSIP1"
		"CNOT8"
		"EMP1"
		"RBM14"
		"PIGX"
		"XBP1"
		"SAMD1"
		"ATP7B"
		"MYOZ3"
		"IGF1R"
		"ABCA1"
		"SMCR5"
		"SOX11"
		"CLK4"
		"TRAPPC6B"
		"MIF4GD"
		"STARD5"
		"SIPA1L3"
		"DDX46"
		"NAB1"
		"IL8RB"
		"HGF"
		"FYN"
		"BIN1"
		"GRAP2"
		"RGMB"
		"C11orf71"
		"LOC142937"
		"LOC644936"
		"EIF4A1"
		"TACC1"
		"C2orf72"
		"ZNF76"
		"SAA4"
		"SLMAP"
		"LOC100129397"
		"SDHALP1"
		"GNAT1"
		"YAP1"
		"CCL2"
		"NUP88"
		"MAGEL2"
		"SOX13"
		"BCL10"
		"LOC100131165"
		"EGFR"
		"DLGAP4"
		"LRRN1"
		"C16orf55"
		"TMSB10"
		"ABCB1"
		"SPIN4"
		"VPREB1"
		"LYN"
		"EEA1"
		"C16orf71"
		"ENOSF1"
		"BRUNOL6"
		"CYTIP"
		"BMPR2"
		"ZC3H11A"
		"TPT1"
		"AKR7A2"
		"JUB"
		"MED17"
		"FLJ25770"
		"MYO1D"
		"SULF1"
		"FLJ45244"
		"C14orf79"
		"ACTB"
		"STK36"
		"CNNM2"
		"MRPL3"
		"BMS1P5"
		"LOC442461"
		"WDYHV1"
		"SLC16A13"
		"BSG"
		"MAPK1IP1L"
		"CHPT1"
		"KIAA1908"
		"CTSK"
		"PRDM10"
		"ANP32D"
		"RP6-166C19.11"
		"LOC399900"
		"COL22A1"
		"ZNF850P"
		"CARD8"
		"WBP11"
